Origin,Destination,Demand,EstimatedTT,ObservedTT,FFTT
0,3,57.4186654769112,16.04071269168334,20.914008877746106,13.65998177142857
0,4,32.93387575882106,13.312240198286029,18.27954538854775,10.947310114285711
0,6,68.90093014819806,5.668342869794752,6.443057582903632,3.660105742857142
0,8,65.48512355517362,2.36800334947317,3.809190791470077,2.1444407999999995
0,10,28.766072472238456,2.9389617783922324,3.7632680179904607,2.8423536
0,12,28.766072472238456,12.423731113024227,27.68715560544242,11.215165200000003
0,14,18.553335981720753,27.33054165767199,31.737591696165794,22.02692491428571
0,16,33.88238791734531,14.237957339843305,19.561391811924377,12.226957199999998
0,18,37.588478502083575,10.34470327797014,13.702717975881825,8.382037199999996
0,20,43.000761373249624,7.813919676013871,10.857801515926516,6.6851819999999975
0,22,41.05575100680304,6.189038641252164,7.619522169204773,5.1572304
0,24,30.688877574555576,7.673361024766018,11.036402908353528,7.325053200000001
0,27,0.8733722559326617,29.00912919296479,32.980562664770694,20.048631799999995
0,28,16.66457079364736,26.567385413760658,30.84909124367219,21.438333171428567
0,30,16.800938381311582,24.35233587335267,29.792224210587644,19.671325199999995
0,32,21.538400692371003,21.112007251483917,26.217206424936762,16.52910719999999
0,34,27.370332046850205,19.628663590572465,24.146860346298144,15.165211199999995
0,36,28.766072472238456,16.546822767892923,19.319534273065816,12.152595599999993
0,38,25.927161155033623,21.00776284479778,24.37382724280796,15.979707599999994
0,40,28.766072472238456,17.171497934006805,19.616656998348148,13.420887599999995
0,42,34.96389825788856,13.557947514962429,17.10406270403015,11.219829599999997
0,44,34.866048169610266,11.543442287802836,15.242768459341509,9.439843199999997
0,46,30.860519058132,15.383834764278458,18.125942277350227,12.169013999999995
0,48,33.92846573676946,13.723265160642827,20.021977105893388,11.248819
0,50,33.513324724894105,13.20411667508726,15.826885193950131,10.5477624
0,52,67.77624830688981,11.831738221527065,14.457785365297601,9.8131032
0,56,43.52227123784395,25.961108300384037,26.798519037963864,17.759938999999996
0,59,0.7450446118064861,30.907138625195504,34.48138766477069,21.549456799999994
0,61,16.11431246358881,25.951220875153354,29.037653716355916,20.248824299999995
0,63,20.53245788126909,22.346487996918558,25.11371874948365,16.850917199999994
0,65,24.186650775683777,20.78368897570295,24.188326902212687,15.976101599999994
0,67,30.217977218541435,17.498602027733625,21.39824723663986,13.696497599999995
0,69,28.340640442831976,18.450830794413985,21.865811752810906,12.317974599999996
0,71,48.074339858517405,22.13067840152746,26.93802291457139,15.457309000000002
0,73,26.838999331622947,20.436552803444044,25.719915281189742,14.627113000000001
0,75,48.34338863559801,16.097529181359352,20.433892953948465,12.9310368
0,77,27.66269361081494,17.08931617328571,22.287076522715513,13.646490799999999
0,80,20.45363619753978,23.201358343197388,24.35774061064146,15.508074199999998
0,82,1.124036306712661,26.784241347140032,28.327561712042886,18.780921628571427
0,84,0.692895795068627,34.122415438257775,39.107159930841455,24.712443999999994
0,86,13.203093351667333,31.541824049740796,34.21939142197755,23.835519771428565
0,88,15.386463516772523,27.550002030199337,30.24797483008954,20.972043599999996
0,89,20.562880666670164,24.238845469720083,26.858833378707722,18.043983199999996
0,91,22.724261953722266,24.15430914809718,28.25907616174851,16.271075800000002
0,93,23.35688059802211,27.77024090102162,30.153544260350856,18.254949999999997
0,95,21.003021024280066,28.17166992188524,29.917105550315032,20.743003199999997
0,97,18.901128779639855,27.847572747049313,29.428801618975054,20.420765999999997
0,99,28.766072472238456,28.801295674923157,35.67110050641617,21.1931098
0,101,20.61510209624293,31.005853364553488,37.621940688884614,22.998626799999997
0,103,19.68970333273952,29.681239342034154,35.84092828368914,21.894686999999994
0,105,18.05824726187512,30.637058407360268,32.655494894595876,20.8169764
0,107,19.77705850156877,32.796568451096086,36.01280743030839,22.653513999999994
0,110,16.011991638386586,33.883509991181676,39.50259516604419,24.715707485714276
0,111,16.47217227934055,30.002739821908584,36.12950248368914,22.183261199999993
0,113,16.900332137279744,30.71534370428463,36.87403228368914,22.927790999999996
0,116,12.018164086074819,32.535402845629235,35.86241964862008,24.566039000000004
0,117,12.798495741012644,41.068819267890284,43.96712350604363,29.026655114285703
0,119,28.766072472238456,37.24928135089011,39.53081541465462,25.72452939999999
3,0,30.106009745758737,15.707475280963092,15.948988767487863,12.943603199999998
3,4,394.7933807021296,2.859444223174532,3.050418201575694,2.7231336
3,6,1.496616210512434,17.148147756766214,15.513434870440415,12.977186742857143
3,8,35.95118894907035,13.406926373773661,13.477161243212086,10.857436799999997
3,10,28.48105616799188,15.714579466588164,17.495948525318994,12.234528
3,12,28.766072472238456,23.26266804960739,38.150581978775335,18.678231600000004
3,14,26.229868225879276,18.119291588687013,18.60220696281531,13.368003714285711
3,16,2.504459217868419,1.6311387142837592,1.1422243464052286,0.7294344
3,18,2.7519620434637653,3.8515310737006323,3.350868746405229,2.9380788000000004
