,Unnamed: 0,osmid,y,x,highway,street_cou,lon,lat,ref,geometry,gridID_lon,gridID_lat,inner_grid_lon,inner_grid_lat
0,0,715515,-37.005917499999995,174.85523,traffic_signals,4,174.85523,-37.005917499999995,,POINT (174.85523 -37.0059175),6.0,0.0,0,0
1,1,316385338,-37.0060167,174.8553016,traffic_signals,4,174.8553016,-37.0060167,,POINT (174.8553016 -37.0060167),6.0,0.0,0,0
2,2,316384054,-37.0056225,174.85600449999998,,3,174.85600449999998,-37.0056225,,POINT (174.8560045 -37.0056225),6.0,0.0,0,0
3,3,715702,-36.9297752,174.7821429,,3,174.7821429,-36.9297752,,POINT (174.7821429 -36.9297752),4.0,2.0,None,None
4,4,60483962,-36.927133000000005,174.77887040000002,,3,174.77887040000002,-36.927133000000005,,POINT (174.7788704 -36.927133),4.0,2.0,None,None
5,5,1164491436,-36.9300647,174.7821676,,3,174.7821676,-36.9300647,,POINT (174.7821676 -36.9300647),4.0,2.0,None,None
6,6,715705,-36.9267566,174.782568,,4,174.782568,-36.9267566,,POINT (174.782568 -36.9267566),4.0,2.0,None,None
7,7,2271475319,-36.9268755,174.78258,,3,174.78258,-36.9268755,,POINT (174.78258 -36.9268755),4.0,2.0,None,None
8,8,3108466062,-36.9267249,174.7828395,,3,174.7828395,-36.9267249,,POINT (174.7828395 -36.9267249),4.0,2.0,None,None
9,9,715715,-36.9266401,174.78814169999998,,3,174.78814169999998,-36.9266401,,POINT (174.7881417 -36.9266401),4.0,2.0,None,None
10,10,26107301,-36.924907399999995,174.7879174,,1,174.7879174,-36.924907399999995,,POINT (174.7879174 -36.9249074),4.0,2.0,None,None
11,11,5724205757,-36.9265265,174.7896704,,3,174.7896704,-36.9265265,,POINT (174.7896704 -36.9265265),4.0,2.0,None,None
12,12,715723,-36.9265874,174.7960764,,3,174.7960764,-36.9265874,,POINT (174.7960764 -36.9265874),4.0,2.0,None,None
13,13,1713769187,-36.921305600000004,174.8125916,,3,174.8125916,-36.921305600000004,,POINT (174.8125916 -36.9213056),5.0,2.0,0,0
14,14,3518391415,-36.9266376,174.7957054,,3,174.7957054,-36.9266376,,POINT (174.7957054 -36.9266376),4.0,2.0,None,None
15,15,715742,-36.9201456,174.8133011,traffic_signals,3,174.8133011,-36.9201456,,POINT (174.8133011 -36.9201456),5.0,2.0,0,0
16,16,1713769165,-36.9200283,174.81472219999998,,3,174.81472219999998,-36.9200283,,POINT (174.8147222 -36.9200283),5.0,2.0,0,0
17,17,1713769200,-36.9202056,174.8127346,,3,174.8127346,-36.9202056,,POINT (174.8127346 -36.9202056),5.0,2.0,0,0
18,18,715746,-36.9196448,174.81839250000002,,3,174.81839250000002,-36.9196448,,POINT (174.8183925 -36.9196448),5.0,2.0,0,0
19,19,1691789283,-36.919503999999996,174.8193736,,3,174.8193736,-36.919503999999996,,POINT (174.8193736 -36.919504),5.0,2.0,0,0
20,20,715753,-36.9161208,174.8252671,,3,174.8252671,-36.9161208,,POINT (174.8252671 -36.9161208),5.0,2.0,0,1
21,21,344574828,-36.915397999999996,174.82583830000002,,3,174.82583830000002,-36.915397999999996,,POINT (174.8258383 -36.915398),5.0,2.0,0,1
22,22,344574832,-36.9156536,174.82635159999998,,4,174.82635159999998,-36.9156536,,POINT (174.8263516 -36.9156536),5.0,2.0,0,1
23,23,715784,-36.915515899999995,174.82887340000002,motorway_junction,3,174.82887340000002,-36.915515899999995,437,POINT (174.8288734 -36.9155159),5.0,2.0,0,1
24,24,6287230662,-36.916313099999996,174.8321417,motorway_junction,3,174.8321417,-36.916313099999996,438,POINT (174.8321417 -36.9163131),5.0,2.0,0,1
25,25,266281197,-36.9158263,174.834877,,3,174.834877,-36.9158263,,POINT (174.834877 -36.9158263),5.0,2.0,1,1
26,26,715823,-36.9055612,174.8151226,,3,174.8151226,-36.9055612,,POINT (174.8151226 -36.9055612),5.0,2.0,0,1
27,27,715827,-36.9007086,174.80972240000003,motorway_junction,3,174.80972240000003,-36.9007086,435,POINT (174.8097224 -36.9007086),4.0,3.0,1,0
28,28,4712959911,-36.90321420000001,174.8117904,,3,174.8117904,-36.90321420000001,,POINT (174.8117904 -36.9032142),4.0,2.0,None,None
29,29,715851,-36.8905771,174.79978169999998,,3,174.79978169999998,-36.8905771,,POINT (174.7997817 -36.8905771),4.0,3.0,1,0
30,30,1227602676,-36.8930271,174.8036973,motorway_junction,3,174.8036973,-36.8930271,434,POINT (174.8036973 -36.8930271),4.0,3.0,1,0
31,31,715854,-36.8871867,174.79375880000003,motorway_junction,3,174.79375880000003,-36.8871867,433,POINT (174.7937588 -36.8871867),4.0,3.0,1,0
32,32,25953784,-36.88851079999999,174.7973106,,4,174.7973106,-36.88851079999999,,POINT (174.7973106 -36.8885108),4.0,3.0,1,0
33,33,715871,-36.8773921,174.78222380000003,,3,174.78222380000003,-36.8773921,,POINT (174.7822238 -36.8773921),4.0,3.0,0,1
34,34,25953703,-36.8791042,174.78390819999998,motorway_junction,3,174.78390819999998,-36.8791042,432,POINT (174.7839082 -36.8791042),4.0,3.0,0,1
35,35,715920,-36.869943799999994,174.771702,motorway_junction,3,174.771702,-36.869943799999994,431,POINT (174.771702 -36.8699438),4.0,3.0,0,1
36,36,25771610,-36.8718455,174.77391,,3,174.77391,-36.8718455,,POINT (174.77391 -36.8718455),4.0,3.0,0,1
37,37,715921,-36.8677511,174.76878,,3,174.76878,-36.8677511,,POINT (174.76878 -36.8677511),3.0,3.0,None,None
38,38,716070,-36.814764600000004,174.7512396,motorway_junction,3,174.7512396,-36.814764600000004,421,POINT (174.7512396 -36.8147646),3.0,5.0,None,None
39,39,1707818702,-36.813339,174.75143459999998,,3,174.75143459999998,-36.813339,,POINT (174.7514346 -36.813339),3.0,5.0,None,None
40,40,60281999,-36.81041679999999,174.7550487,,3,174.7550487,-36.81041679999999,,POINT (174.7550487 -36.8104168),3.0,5.0,None,None
41,41,716082,-36.8040836,174.76025800000002,motorway_junction,3,174.76025800000002,-36.8040836,420,POINT (174.760258 -36.8040836),3.0,5.0,None,None
42,42,329677537,-36.7976384,174.7603015,,3,174.7603015,-36.7976384,,POINT (174.7603015 -36.7976384),3.0,5.0,None,None
43,43,266309644,-36.8005686,174.76005869999997,,3,174.76005869999997,-36.8005686,,POINT (174.7600587 -36.8005686),3.0,5.0,None,None
44,44,716100,-36.7969686,174.7596383,,3,174.7596383,-36.7969686,,POINT (174.7596383 -36.7969686),3.0,5.0,None,None
45,45,4712874984,-36.7921595,174.7552564,motorway_junction,3,174.7552564,-36.7921595,419,POINT (174.7552564 -36.7921595),3.0,6.0,1,0
46,46,25480915,-36.9580392,174.79762119999998,motorway_junction,3,174.79762119999998,-36.9580392,9,POINT (174.7976212 -36.9580392),4.0,1.0,None,None
47,47,60487307,-36.9663811,174.7967387,,3,174.7967387,-36.9663811,,POINT (174.7967387 -36.9663811),4.0,1.0,None,None
48,48,25480917,-36.96038789999999,174.7992195,,3,174.7992195,-36.96038789999999,,POINT (174.7992195 -36.9603879),4.0,1.0,None,None
49,49,270845587,-36.9712629,174.81347680000002,motorway_junction,3,174.81347680000002,-36.9712629,7,POINT (174.8134768 -36.9712629),5.0,1.0,None,None
50,50,25480932,-36.9310396,174.78661780000002,,3,174.78661780000002,-36.9310396,,POINT (174.7866178 -36.9310396),4.0,2.0,None,None
51,51,431411386,-36.9368695,174.7897387,motorway_junction,3,174.7897387,-36.9368695,12,POINT (174.7897387 -36.9368695),4.0,1.0,None,None
52,52,25480933,-36.925565399999996,174.77606550000002,motorway_junction,3,174.77606550000002,-36.925565399999996,13,POINT (174.7760655 -36.9255654),4.0,2.0,None,None
53,53,25480937,-36.9231899,174.7715754,,3,174.7715754,-36.9231899,,POINT (174.7715754 -36.9231899),4.0,2.0,None,None
54,54,25480938,-36.9204648,174.7648746,,3,174.7648746,-36.9204648,,POINT (174.7648746 -36.9204648),3.0,2.0,None,None
55,55,25769228,-36.8605388,174.7601763,,4,174.7601763,-36.8605388,,POINT (174.7601763 -36.8605388),3.0,4.0,2,0
56,56,25769470,-36.8579169,174.761395,,4,174.761395,-36.8579169,,POINT (174.761395 -36.8579169),3.0,4.0,2,0
57,57,25769257,-36.8632647,174.7586141,,3,174.7586141,-36.8632647,,POINT (174.7586141 -36.8632647),3.0,4.0,2,0
58,58,25775835,-36.8631955,174.75509340000002,,3,174.75509340000002,-36.8631955,,POINT (174.7550934 -36.8631955),3.0,4.0,1,0
59,59,265812639,-36.861150200000004,174.761985,,5,174.761985,-36.861150200000004,,POINT (174.761985 -36.8611502),3.0,4.0,2,0
60,60,25769236,-36.86404,174.76091399999999,,3,174.76091399999999,-36.86404,,POINT (174.760914 -36.86404),3.0,4.0,2,0
61,61,265816292,-36.864188299999995,174.76088280000002,,3,174.76088280000002,-36.864188299999995,,POINT (174.7608828 -36.8641883),3.0,4.0,2,0
62,62,7092494108,-36.8637703,174.76091100000002,,5,174.76091100000002,-36.8637703,,POINT (174.760911 -36.8637703),3.0,4.0,2,0
63,63,25769661,-36.862843299999994,174.7559949,,4,174.7559949,-36.862843299999994,,POINT (174.7559949 -36.8628433),3.0,4.0,1,0
64,64,25769420,-36.8584378,174.76359440000002,,5,174.76359440000002,-36.8584378,,POINT (174.7635944 -36.8584378),3.0,4.0,2,0
65,65,25769427,-36.8604076,174.7669125,,4,174.7669125,-36.8604076,,POINT (174.7669125 -36.8604076),3.0,4.0,2,0
66,66,5076558530,-36.8612172,174.7634617,,3,174.7634617,-36.8612172,,POINT (174.7634617 -36.8612172),3.0,4.0,2,0
67,67,4305599457,-36.8565573,174.76554919999998,,3,174.76554919999998,-36.8565573,,POINT (174.7655492 -36.8565573),3.0,4.0,2,0
68,68,25770438,-36.864086799999995,174.7711119,traffic_signals,3,174.7711119,-36.864086799999995,,POINT (174.7711119 -36.8640868),3.0,4.0,2,0
69,69,25770392,-36.86149,174.765848,,3,174.765848,-36.86149,,POINT (174.765848 -36.86149),3.0,4.0,2,0
70,70,1030333322,-36.85678789999999,174.76956669999998,,3,174.76956669999998,-36.85678789999999,,POINT (174.7695667 -36.8567879),3.0,4.0,2,0
71,71,1745103032,-36.8573473,174.76164939999998,,2,174.76164939999998,-36.8573473,,POINT (174.7616494 -36.8573473),3.0,4.0,2,0
72,72,25769730,-36.8577059,174.759059,,3,174.759059,-36.8577059,,POINT (174.759059 -36.8577059),3.0,4.0,2,0
73,73,25769595,-36.8547975,174.76281719999997,,2,174.76281719999997,-36.8547975,,POINT (174.7628172 -36.8547975),3.0,4.0,2,0
74,74,25769635,-36.8541009,174.7631147,,3,174.7631147,-36.8541009,,POINT (174.7631147 -36.8541009),3.0,4.0,2,1
75,75,1417624630,-36.853249,174.765152,,2,174.765152,-36.853249,,POINT (174.765152 -36.853249),3.0,4.0,2,1
76,76,648890980,-36.8525224,174.7613141,,3,174.7613141,-36.8525224,,POINT (174.7613141 -36.8525224),3.0,4.0,2,1
77,77,25769639,-36.852799499999996,174.7655924,,2,174.7655924,-36.852799499999996,,POINT (174.7655924 -36.8527995),3.0,4.0,2,1
78,78,5976574858,-36.8521055,174.76583540000001,,3,174.76583540000001,-36.8521055,,POINT (174.7658354 -36.8521055),3.0,4.0,2,1
79,79,25769641,-36.8516167,174.7658948,,4,174.7658948,-36.8516167,,POINT (174.7658948 -36.8516167),3.0,4.0,2,1
80,80,1417616273,-36.85148579999999,174.7658958,,4,174.7658958,-36.85148579999999,,POINT (174.7658958 -36.8514858),3.0,4.0,2,1
81,81,1417616279,-36.8510719,174.7651254,,3,174.7651254,-36.8510719,,POINT (174.7651254 -36.8510719),3.0,4.0,2,1
82,82,25769647,-36.852425,174.76129,,3,174.76129,-36.852425,,POINT (174.76129 -36.852425),3.0,4.0,2,1
83,83,25769792,-36.851664500000005,174.7598929,,4,174.7598929,-36.851664500000005,,POINT (174.7598929 -36.8516645),3.0,4.0,2,1
84,84,25769649,-36.8514328,174.7616561,,1,174.7616561,-36.8514328,,POINT (174.7616561 -36.8514328),3.0,4.0,2,1
85,85,269669309,-36.8635848,174.7550791,,4,174.7550791,-36.8635848,,POINT (174.7550791 -36.8635848),3.0,4.0,1,0
86,86,3117624997,-36.8625251,174.7546836,,3,174.7546836,-36.8625251,,POINT (174.7546836 -36.8625251),3.0,4.0,1,0
87,87,25769669,-36.85972329999999,174.7527466,,4,174.7527466,-36.85972329999999,,POINT (174.7527466 -36.8597233),3.0,4.0,1,0
88,88,25774066,-36.8585672,174.75494750000001,,3,174.75494750000001,-36.8585672,,POINT (174.7549475 -36.8585672),3.0,4.0,1,0
89,89,25775614,-36.8612042,174.750909,,3,174.750909,-36.8612042,,POINT (174.750909 -36.8612042),3.0,4.0,1,0
90,90,25775602,-36.8587154,174.75091909999998,traffic_signals,3,174.75091909999998,-36.8587154,,POINT (174.7509191 -36.8587154),3.0,4.0,1,0
91,91,564407249,-36.8567683,174.7589181,,3,174.7589181,-36.8567683,,POINT (174.7589181 -36.8567683),3.0,4.0,2,0
92,92,2815390952,-36.8576277,174.7585231,,2,174.7585231,-36.8576277,,POINT (174.7585231 -36.8576277),3.0,4.0,2,0
93,93,25769770,-36.8551602,174.7586772,traffic_signals,3,174.7586772,-36.8551602,,POINT (174.7586772 -36.8551602),3.0,4.0,2,0
94,94,1015091888,-36.854756200000004,174.758627,,3,174.758627,-36.854756200000004,,POINT (174.758627 -36.8547562),3.0,4.0,2,0
95,95,25774033,-36.8577153,174.75356090000002,,3,174.75356090000002,-36.8577153,,POINT (174.7535609 -36.8577153),3.0,4.0,1,0
96,96,25769786,-36.8540021,174.7583636,,4,174.7583636,-36.8540021,,POINT (174.7583636 -36.8540021),3.0,4.0,2,1
97,97,1164601538,-36.8541011,174.75828,,4,174.75828,-36.8541011,,POINT (174.75828 -36.8541011),3.0,4.0,2,1
98,98,671146091,-36.854278799999996,174.7586239,,3,174.7586239,-36.854278799999996,,POINT (174.7586239 -36.8542788),3.0,4.0,2,1
99,99,25769791,-36.8512728,174.7585316,,4,174.7585316,-36.8512728,,POINT (174.7585316 -36.8512728),3.0,4.0,2,1
100,100,1164600481,-36.8508937,174.75721059999998,,3,174.75721059999998,-36.8508937,,POINT (174.7572106 -36.8508937),3.0,4.0,1,1
101,101,25769821,-36.8494031,174.75933830000002,,4,174.75933830000002,-36.8494031,,POINT (174.7593383 -36.8494031),3.0,4.0,2,1
102,102,671146089,-36.853650099999996,174.7586215,,3,174.7586215,-36.853650099999996,,POINT (174.7586215 -36.8536501),3.0,4.0,2,1
103,103,25769793,-36.8498414,174.76083909999997,,4,174.76083909999997,-36.8498414,,POINT (174.7608391 -36.8498414),3.0,4.0,2,1
104,104,26453201,-36.8502295,174.76067369999998,,3,174.76067369999998,-36.8502295,,POINT (174.7606737 -36.8502295),3.0,4.0,2,1
105,105,25769797,-36.8503708,174.762684,,2,174.762684,-36.8503708,,POINT (174.762684 -36.8503708),3.0,4.0,2,1
106,106,25769799,-36.8508932,174.7645041,,2,174.7645041,-36.8508932,,POINT (174.7645041 -36.8508932),3.0,4.0,2,1
107,107,25774447,-36.8485878,174.7565516,,3,174.7565516,-36.8485878,,POINT (174.7565516 -36.8485878),3.0,4.0,1,1
108,108,25769829,-36.8476427,174.7601167,,4,174.7601167,-36.8476427,,POINT (174.7601167 -36.8476427),3.0,4.0,2,1
109,109,25774450,-36.8481396,174.7563841,,4,174.7563841,-36.8481396,,POINT (174.7563841 -36.8481396),3.0,4.0,1,1
110,110,5838568875,-36.84555770000001,174.76104119999997,,4,174.76104119999997,-36.84555770000001,,POINT (174.7610412 -36.8455577),3.0,4.0,2,1
111,111,25769830,-36.847994,174.7616626,,4,174.7616626,-36.847994,,POINT (174.7616626 -36.847994),3.0,4.0,2,1
112,112,25769837,-36.84942589999999,174.76673490000002,,4,174.76673490000002,-36.84942589999999,,POINT (174.7667349 -36.8494259),3.0,4.0,2,1
113,113,640856957,-36.849233899999994,174.7669773,,3,174.7669773,-36.849233899999994,,POINT (174.7669773 -36.8492339),3.0,4.0,2,1
114,114,25769932,-36.8444802,174.7632436,,4,174.7632436,-36.8444802,,POINT (174.7632436 -36.8444802),3.0,4.0,2,1
115,115,3603759116,-36.845408,174.76141719999998,traffic_signals,3,174.76141719999998,-36.845408,,POINT (174.7614172 -36.845408),3.0,4.0,2,1
116,116,25769965,-36.8540199,174.7682281,,3,174.7682281,-36.8540199,,POINT (174.7682281 -36.8540199),3.0,4.0,2,1
117,117,4322912686,-36.8540278,174.768219,,2,174.768219,-36.8540278,,POINT (174.768219 -36.8540278),3.0,4.0,2,1
118,118,25769966,-36.851929299999995,174.77031330000003,traffic_signals,3,174.77031330000003,-36.851929299999995,,POINT (174.7703133 -36.8519293),3.0,4.0,2,1
119,119,25769967,-36.8524783,174.7669032,,3,174.7669032,-36.8524783,,POINT (174.7669032 -36.8524783),3.0,4.0,2,1
120,120,25770129,-36.8539428,174.7707648,traffic_signals,4,174.7707648,-36.8539428,,POINT (174.7707648 -36.8539428),3.0,4.0,2,1
121,121,661878192,-36.8504792,174.7720905,,3,174.7720905,-36.8504792,,POINT (174.7720905 -36.8504792),4.0,4.0,None,None
122,122,25769969,-36.851988399999996,174.76633950000002,,3,174.76633950000002,-36.851988399999996,,POINT (174.7663395 -36.8519884),3.0,4.0,2,1
123,123,25769972,-36.8502223,174.77242280000002,,4,174.77242280000002,-36.8502223,,POINT (174.7724228 -36.8502223),4.0,4.0,None,None
124,124,259121051,-36.849173,174.7735191,,2,174.7735191,-36.849173,,POINT (174.7735191 -36.849173),4.0,4.0,None,None
125,125,1017321881,-36.8521299,174.7733869,,3,174.7733869,-36.8521299,,POINT (174.7733869 -36.8521299),4.0,4.0,None,None
126,126,661878187,-36.8500571,174.7722271,,3,174.7722271,-36.8500571,,POINT (174.7722271 -36.8500571),4.0,4.0,None,None
127,127,25770031,-36.8457408,174.7716267,,3,174.7716267,-36.8457408,,POINT (174.7716267 -36.8457408),4.0,4.0,None,None
128,128,5897645185,-36.8443646,174.7654784,crossing,3,174.7654784,-36.8443646,,POINT (174.7654784 -36.8443646),3.0,4.0,2,1
129,129,1353316173,-36.8464681,174.7728309,,3,174.7728309,-36.8464681,,POINT (174.7728309 -36.8464681),4.0,4.0,None,None
130,130,259121055,-36.84860379999999,174.7734815,,2,174.7734815,-36.84860379999999,,POINT (174.7734815 -36.8486038),4.0,4.0,None,None
131,131,25770035,-36.8425456,174.76414609999998,,4,174.76414609999998,-36.8425456,,POINT (174.7641461 -36.8425456),3.0,4.0,2,2
132,132,259264562,-36.8428309,174.7640115,,3,174.7640115,-36.8428309,,POINT (174.7640115 -36.8428309),3.0,4.0,2,2
133,133,3610542041,-36.8427419,174.76501130000003,,3,174.76501130000003,-36.8427419,,POINT (174.7650113 -36.8427419),3.0,4.0,2,2
134,134,25770093,-36.8450578,174.77368909999998,,4,174.77368909999998,-36.8450578,,POINT (174.7736891 -36.8450578),4.0,4.0,None,None
135,135,6276426131,-36.8450241,174.7735634,,4,174.7735634,-36.8450241,,POINT (174.7735634 -36.8450241),4.0,4.0,None,None
136,136,1353316149,-36.8453156,174.77359180000002,,3,174.77359180000002,-36.8453156,,POINT (174.7735918 -36.8453156),4.0,4.0,None,None
137,137,25770102,-36.8457937,174.7750473,,3,174.7750473,-36.8457937,,POINT (174.7750473 -36.8457937),4.0,4.0,None,None
138,138,1353316168,-36.8453085,174.7742878,,3,174.7742878,-36.8453085,,POINT (174.7742878 -36.8453085),4.0,4.0,None,None
139,139,25770103,-36.8467307,174.7748814,,1,174.7748814,-36.8467307,,POINT (174.7748814 -36.8467307),4.0,4.0,None,None
140,140,2720342089,-36.8460633,174.7750488,,3,174.7750488,-36.8460633,,POINT (174.7750488 -36.8460633),4.0,4.0,None,None
141,141,25770113,-36.849011700000005,174.7745243,,3,174.7745243,-36.849011700000005,,POINT (174.7745243 -36.8490117),4.0,4.0,None,None
142,142,1017321885,-36.8502958,174.77446750000001,,3,174.77446750000001,-36.8502958,,POINT (174.7744675 -36.8502958),4.0,4.0,None,None
143,143,25770117,-36.8508943,174.775171,,4,174.775171,-36.8508943,,POINT (174.775171 -36.8508943),4.0,4.0,None,None
144,144,1017321850,-36.8508019,174.7752333,,4,174.7752333,-36.8508019,,POINT (174.7752333 -36.8508019),4.0,4.0,None,None
145,145,1423555168,-36.8508218,174.7749694,,3,174.7749694,-36.8508218,,POINT (174.7749694 -36.8508218),4.0,4.0,None,None
146,146,25770127,-36.855188899999995,174.77128530000002,,4,174.77128530000002,-36.855188899999995,,POINT (174.7712853 -36.8551889),4.0,4.0,None,None
147,147,1335192803,-36.8552148,174.7711441,,3,174.7711441,-36.8552148,,POINT (174.7711441 -36.8552148),3.0,4.0,2,0
148,148,1335192798,-36.8559165,174.77036809999998,,3,174.77036809999998,-36.8559165,,POINT (174.7703681 -36.8559165),3.0,4.0,2,0
149,149,25841159,-36.8540015,174.77162859999999,,3,174.77162859999999,-36.8540015,,POINT (174.7716286 -36.8540015),4.0,4.0,None,None
150,150,1235406187,-36.8548756,174.7709802,,3,174.7709802,-36.8548756,,POINT (174.7709802 -36.8548756),3.0,4.0,2,0
151,151,25770133,-36.8561438,174.7697281,,5,174.7697281,-36.8561438,,POINT (174.7697281 -36.8561438),3.0,4.0,2,0
152,152,1335192851,-36.856054,174.7698354,,4,174.7698354,-36.856054,,POINT (174.7698354 -36.856054),3.0,4.0,2,0
153,153,25841164,-36.8560591,174.7697229,,3,174.7697229,-36.8560591,,POINT (174.7697229 -36.8560591),3.0,4.0,2,0
154,154,25841128,-36.8563726,174.76930990000002,,3,174.76930990000002,-36.8563726,,POINT (174.7693099 -36.8563726),3.0,4.0,2,0
155,155,25903956,-36.8611109,174.76523400000002,,1,174.76523400000002,-36.8611109,,POINT (174.765234 -36.8611109),3.0,4.0,2,0
156,156,25770708,-36.8646881,174.7641121,,4,174.7641121,-36.8646881,,POINT (174.7641121 -36.8646881),3.0,4.0,2,0
157,157,25770436,-36.8637529,174.7695149,,1,174.7695149,-36.8637529,,POINT (174.7695149 -36.8637529),3.0,4.0,2,0
158,158,6288047146,-36.8648317,174.7691943,,2,174.7691943,-36.8648317,,POINT (174.7691943 -36.8648317),3.0,4.0,2,0
159,159,25770895,-36.8652364,174.77655269999997,,3,174.77655269999997,-36.8652364,,POINT (174.7765527 -36.8652364),4.0,4.0,None,None
160,160,25770844,-36.8660219,174.7705124,traffic_signals,4,174.7705124,-36.8660219,,POINT (174.7705124 -36.8660219),3.0,4.0,2,0
161,161,25770706,-36.8643898,174.7626422,,3,174.7626422,-36.8643898,,POINT (174.7626422 -36.8643898),3.0,4.0,2,0
162,162,265816287,-36.864098999999996,174.7614426,,3,174.7614426,-36.864098999999996,,POINT (174.7614426 -36.864099),3.0,4.0,2,0
163,163,25776227,-36.866726,174.761742,,3,174.761742,-36.866726,,POINT (174.761742 -36.866726),3.0,3.0,None,None
164,164,2674605330,-36.866957799999994,174.7634425,,3,174.7634425,-36.866957799999994,,POINT (174.7634425 -36.8669578),3.0,3.0,None,None
165,165,25841000,-36.8653451,174.7671244,traffic_signals,3,174.7671244,-36.8653451,,POINT (174.7671244 -36.8653451),3.0,4.0,2,0
166,166,25770756,-36.8655281,174.76809699999998,traffic_signals,3,174.76809699999998,-36.8655281,,POINT (174.768097 -36.8655281),3.0,4.0,2,0
167,167,5802427246,-36.865635499999996,174.7686072,,3,174.7686072,-36.865635499999996,,POINT (174.7686072 -36.8656355),3.0,4.0,2,0
168,168,25841001,-36.865471899999996,174.76780449999998,,3,174.76780449999998,-36.865471899999996,,POINT (174.7678045 -36.8654719),3.0,4.0,2,0
169,169,25770782,-36.8657008,174.768936,,3,174.768936,-36.8657008,,POINT (174.768936 -36.8657008),3.0,4.0,2,0
170,170,6288047147,-36.8649419,174.7691615,,2,174.7691615,-36.8649419,,POINT (174.7691615 -36.8649419),3.0,4.0,2,0
171,171,25771223,-36.8664755,174.7725997,,3,174.7725997,-36.8664755,,POINT (174.7725997 -36.8664755),4.0,3.0,0,1
172,172,265782924,-36.8714509,174.76847709999998,,3,174.76847709999998,-36.8714509,,POINT (174.7684771 -36.8714509),3.0,3.0,None,None
173,173,25770880,-36.8632723,174.7771634,,1,174.7771634,-36.8632723,,POINT (174.7771634 -36.8632723),4.0,4.0,None,None
174,174,25771341,-36.8655737,174.77812340000003,,3,174.77812340000003,-36.8655737,,POINT (174.7781234 -36.8655737),4.0,4.0,None,None
175,175,319637222,-36.8701036,174.77123659999998,,3,174.77123659999998,-36.8701036,,POINT (174.7712366 -36.8701036),4.0,3.0,0,1
176,176,6224858468,-36.866999799999995,174.7750542,,2,174.7750542,-36.866999799999995,,POINT (174.7750542 -36.8669998),4.0,3.0,0,1
177,177,25771299,-36.8670784,174.7754256,traffic_signals,3,174.7754256,-36.8670784,,POINT (174.7754256 -36.8670784),4.0,3.0,0,1
178,178,25771324,-36.8676666,174.77815159999997,traffic_signals,3,174.77815159999997,-36.8676666,,POINT (174.7781516 -36.8676666),4.0,3.0,0,1
179,179,25771585,-36.868704,174.7750245,,2,174.7750245,-36.868704,,POINT (174.7750245 -36.868704),4.0,3.0,0,1
180,180,25771331,-36.8652147,174.7790084,,3,174.7790084,-36.8652147,,POINT (174.7790084 -36.8652147),4.0,4.0,None,None
181,181,25771645,-36.8698226,174.77756530000002,traffic_signals,3,174.77756530000002,-36.8698226,,POINT (174.7775653 -36.8698226),4.0,3.0,0,1
182,182,638214510,-36.8649992,174.77899140000002,,3,174.77899140000002,-36.8649992,,POINT (174.7789914 -36.8649992),4.0,4.0,None,None
183,183,2765860703,-36.866987,174.77775019999999,,1,174.77775019999999,-36.866987,,POINT (174.7777502 -36.866987),4.0,3.0,0,1
184,184,6224866333,-36.8650497,174.7787154,,3,174.7787154,-36.8650497,,POINT (174.7787154 -36.8650497),4.0,4.0,None,None
185,185,25771596,-36.869401,174.77509990000001,,2,174.77509990000001,-36.869401,,POINT (174.7750999 -36.869401),4.0,3.0,0,1
186,186,2099288163,-36.8718053,174.77435730000002,,3,174.77435730000002,-36.8718053,,POINT (174.7743573 -36.8718053),4.0,3.0,0,1
187,187,25771608,-36.8721101,174.77427690000002,traffic_signals,3,174.77427690000002,-36.8721101,,POINT (174.7742769 -36.8721101),4.0,3.0,0,1
188,188,68403049,-36.8725276,174.77418830000002,traffic_signals,3,174.77418830000002,-36.8725276,,POINT (174.7741883 -36.8725276),4.0,3.0,0,1
189,189,2155899884,-36.87022329999999,174.7774293,,3,174.7774293,-36.87022329999999,,POINT (174.7774293 -36.8702233),4.0,3.0,0,1
190,190,2155899883,-36.8700677,174.77782580000002,,3,174.77782580000002,-36.8700677,,POINT (174.7778258 -36.8700677),4.0,3.0,0,1
191,191,25771667,-36.871610499999996,174.7769983,traffic_signals,3,174.7769983,-36.871610499999996,,POINT (174.7769983 -36.8716105),4.0,3.0,0,1
192,192,25776550,-36.873348299999996,174.7780742,,3,174.7780742,-36.873348299999996,,POINT (174.7780742 -36.8733483),4.0,3.0,0,1
193,193,25776423,-36.873051000000004,174.7770541,traffic_signals,3,174.7770541,-36.873051000000004,,POINT (174.7770541 -36.873051),4.0,3.0,0,1
194,194,25771855,-36.863173100000004,174.78078359999998,,3,174.78078359999998,-36.863173100000004,,POINT (174.7807836 -36.8631731),4.0,4.0,None,None
195,195,294571442,-36.8665049,174.7808656,,3,174.7808656,-36.8665049,,POINT (174.7808656 -36.8665049),4.0,3.0,0,1
196,196,25773962,-36.8639651,174.77990060000002,,3,174.77990060000002,-36.8639651,,POINT (174.7799006 -36.8639651),4.0,4.0,None,None
197,197,638214735,-36.8621033,174.78187250000002,,3,174.78187250000002,-36.8621033,,POINT (174.7818725 -36.8621033),4.0,4.0,None,None
